"FMID","Market_Name","Address_Street_Number","Address_City","Address_State","Address_Zip","Latitude","Longitude","Spring_Day_A","Spring_Freq_A","Spring_Day_B","Spring_Freq_B","Summer_Day_A","Summer_Freq_A","Summer_Day_B","Summer_Freq_B","Fall_Day_A","Fall_Freq_A","Fall_Day_B","Fall_Freq_B","Accepts_CreditCards","Items","UpdateTime"
"1000791677","Franklin Avenue Farmers Market","1149 Franklin Avenue","Bryn Mawr","PA","19010","40.020481","-75.308337","Sunday","weekly","","","Wednesday","every other week","","","Saturday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2013/5/22"
"1000306481","Park Place Farmers Market","2574 Park Place","Live Oak","FL","32064","30.288965","-82.979186","Friday","every other week","","","Sunday","weekly","Saturday","every other week","Saturday","weekly","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2014 Jul 04"
"1000549547","Jacksonville Farmers Market","889 9th Street","Jacksonville","FL","32234","30.329514","-81.649923","Saturday","weekly","","","Saturday","weekly","","","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2014 Feb 02"
"1000086750","Tennessee Home Grown Farmers Market","60736 Beech Street","Antioch","TN","37013","36.040803","-86.640599","","","","","SATURDAY","WEEKLY","SUNDAY","EVERY OTHER WEEK","SATURDAY","EVERY OTHER WEEK","","","true","$ wine_alcohol:Y|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2015 May 25"
"1000468897","Orange ST Farmers Market","2267 Orange ST","Abingdon","MD","21009","39.458108","-76.269967","Thursday","weekly","","","Saturday","first of month","Friday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:N|crafts:Y","2017/1/21"
"1000094848","Monroe ST Farmers Market","962 Monroe ST","Fort Lauderdale","FL","33325","26.141335","-80.13092","Saturday","weekly","","","Saturday","first of month","Sunday","weekly","Saturday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016/2/8"
"1000531568","Sunset DR Farmers Market","861 Sunset DR","Enid","OK","73703","36.401268","-97.858358","","","","","Saturday","weekly","Wednesday","every other week","Saturday","weekly","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016/9/16"
"1000964029","Beechwood Drive Farmers Market","99255 Beechwood Drive","Mcallen","TX","78504","26.211248","-98.230789","SUNDAY","WEEKLY","","","FRIDAY","EVERY OTHER WEEK","","","","","","","true","$ wine_alcohol:Y|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2013/12/24"
"1000309383","Poplar Street Farmers Market","3209 Poplar Street","Gadsden","AL","35901","34.009554","-86.011487","SATURDAY","WEEKLY","","","SATURDAY","EVERY OTHER WEEK","","","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2013 Oct 10"
"1000472541","Maple Street Market","304 Maple Street","Swanton","OH","43558","41.579944","-83.889408","","","","","SUNDAY","EVERY OTHER WEEK","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2012 Mar 14"
"1000872456","Michigan Home Grown Farmers Market","1040 Charles Street","Holly","MI","48442","42.792266","-83.620436","","","","","Saturday","first of month","Wednesday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2014/10/22"
"1000276129","Gainesville Farmers Market","9432 13th Street","Gainesville","GA","30501","34.288826","-83.829961","","","","","Saturday","weekly","Friday","first of month","Friday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:Y","2015 Nov 21"
"1000909958","Rhode Island Home Grown Farmers Market","9410 Wall Street","Warwick","RI","2886","41.698768","-71.419965","Wednesday","weekly","","","","","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:N|crafts:Y","2012 Feb 16"
"1000628353","Boynton Beach Farmers Market","936 Lake Street","Boynton Beach","FL","33436","26.519503","-80.079204","Sunday","weekly","","","","","","","Sunday","every other week","Saturday","every other week","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:N","2013 Aug 11"
"1000107637","Madison AVE Market","3072 Madison AVE","Philadelphia","PA","19121","39.952002","-75.15965","Saturday","weekly","","","Saturday","every other week","Friday","weekly","Wednesday","every other week","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2015/4/9"
"1000063726","Circle Drive Market","62151 Circle Drive","Frederick","MD","21704","39.418274","-77.409895","","","","","Saturday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:Y","2014 Nov 14"
"1000393862","Wall Street Farmers Market","731 Wall Street","Castleton On Hudson","NY","12033","42.530709","-73.700031","SUNDAY","WEEKLY","","","SATURDAY","EVERY OTHER WEEK","WEDNESDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2013 Feb 20"
"1000140466","Bank Street Farmers Market","9989 Bank Street","Connersville","IN","47331","39.650482","-85.140334","","","","","SATURDAY","WEEKLY","","","THURSDAY","WEEKLY","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2012 Aug 27"
"1000242258","South Carolina Home Grown Farmers Market","8292 2nd Street East","Greenville","SC","29609","34.829585","-82.370303","Sunday","weekly","","","Sunday","every other week","","","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016 Aug 14"
"1000320170","MHN Farmers Market","1634 Jackson ST","Wesson","MS","39191","31.699826","-90.387759","Sunday","every other week","","","Thursday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2016/8/12"
"1000838103","Valley Road Farmers Market","53052 Valley Road","Battle Lake","MN","56515","46.280355","-95.709744","","","","","SATURDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:Y","2014/12/1"
"1000634879","Rochester Market","58524 6th Street","Rochester","NY","14625","43.160887","-77.609521","Saturday","every other week","","","Saturday","every other week","","","Tuesday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2013/1/17"
"1000929868","Cambridge Drive Farmers Market","8469 Cambridge Drive","Orlando","FL","32828","28.500215","-81.37102","","","","","Friday","weekly","Saturday","weekly","Saturday","every other week","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2015/2/9"
"1000313912","Indiana Home Grown Market","9183 5th Avenue","South Bend","IN","46601","41.670795","-86.260825","","","","","SUNDAY","WEEKLY","SATURDAY","EVERY OTHER WEEK","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2013/3/27"
"1000331456","Winding Way Market","4415 Winding Way","Chicago","IL","60652","41.829349","-87.680076","Saturday","weekly","","","Saturday","every other week","Sunday","weekly","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2014 Aug 12"
"1000087624","JCE Farmers Market","4376 High Street","Willis","TX","77318","30.421209","-95.471054","Saturday","every other week","Sunday","weekly","Sunday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2014 Apr 06"
"1000783935","Forest DR Farmers Market","8373 Forest DR","Altoona","PA","16602","40.498448","-78.40146","Saturday","first of month","","","Thursday","weekly","Monday","weekly","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016 Oct 31"
"1000881585","Linden ST Farmers Market","8090 Linden ST","New Britain","CT","6053","41.670764","-72.78014","Saturday","weekly","","","Saturday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:N","2012/7/7"
"1000189923","Ohio Home Grown Farmers Market","21751 High Street","Akron","OH","44314","41.078912","-81.520655","","","","","Saturday","weekly","Sunday","weekly","","","","","true","$ wine_alcohol:Y|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2015/12/12"
"1000970906","Monroe Street Farmers Market","634 Monroe Street","Murray","KY","42071","36.609844","-88.310088","Saturday","every other week","","","Saturday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2016/5/19"
"1000186312","Laurel ST Farmers Market","8448 Laurel ST","New Milford","NJ","7646","40.929826","-74.011502","Friday","first of month","","","Saturday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016 Nov 16"
"1000767262","Lincoln AVE Farmers Market","262 Lincoln AVE","Mission","KS","66202","38.899529","-94.681391","Friday","weekly","","","Saturday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2015/4/25"
"1000476644","Georgia Home Grown Farmers Market","784 Mill ST","Kennesaw","GA","30144","34.0204","-84.610077","","","","","FRIDAY","WEEKLY","","","SUNDAY","WEEKLY","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2017/12/29"
"1000925568","Maryland Home Grown Farmers Market","5192 Willow Street","Columbia","MD","21044","39.199777","-76.849379","Saturday","weekly","","","Saturday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:Y","2017/10/24"
"1000509167","Park DR Farmers Market","8584 Park DR","Hastings","NE","68901","40.579582","-98.38994","Saturday","weekly","","","Wednesday","every other week","","","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017 Feb 01"
"1000834608","Walnut Street Farmers Market","7196 Walnut Street","Shrewsbury","PA","17361","39.770683","-76.680274","TUESDAY","WEEKLY","","","SATURDAY","EVERY OTHER WEEK","SUNDAY","WEEKLY","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2017/9/6"
"1000020563","Main Street Market","17405 Main Street","Saint Petersburg","FL","33709","27.751684","-82.639269","Friday","weekly","","","Saturday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017/12/17"
"1000656837","Park Place Market","737 Park Place","Amarillo","TX","79106","35.200488","-101.808668","","","","","Wednesday","weekly","Friday","weekly","Saturday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2012/11/15"
"1000938929","Riverside Drive Farmers Market","475 Riverside Drive","Benton","LA","71006","32.691808","-93.739502","Sunday","weekly","","","Thursday","every other week","Friday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2016/7/23"
"1000910093","Madison Avenue Farmers Market","3171 Madison Avenue","Greenwood","IN","46143","39.610603","-86.112278","Friday","weekly","","","Saturday","first of month","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2016/9/25"
"1000119437","3rd Street North Farmers Market","4052 3rd Street North","Mobile","AL","36618","30.678691","-88.039089","","","","","FRIDAY","FIRST OF MONTH","SUNDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017 Mar 03"
"1000190486","Lincoln Street Farmers Market","9174 Lincoln Street","Oak Creek","WI","53154","42.880463","-87.889962","WEDNESDAY","EVERY OTHER WEEK","","","SATURDAY","EVERY OTHER WEEK","","","","","","","true","$ wine_alcohol:Y|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2014 Apr 26"
"1000806417","Texas Home Grown Farmers Market","453 Beech Street","Austin","TX","78729","30.259974","-97.742008","Friday","weekly","","","","","","","Wednesday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017/2/1"
"1000862662","Mill Street Farmers Market","495 Mill Street","Urbandale","IA","50322","41.629437","-93.740941","WEDNESDAY","WEEKLY","","","SATURDAY","EVERY OTHER WEEK","WEDNESDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2017 Jun 13"
"1000736466","Spotswood Farmers Market","7950 College Street","Spotswood","NJ","8884","40.390466","-74.389597","","","","","TUESDAY","WEEKLY","WEDNESDAY","WEEKLY","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2013/12/20"
"1000675351","Aspen Court Farmers Market","868 Aspen Court","South Burlington","VT","5403","44.438441","-73.208738","Sunday","every other week","","","Saturday","first of month","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:Y","2015 Apr 19"
"1000262492","Port Allegany Farmers Market","39196 2nd Street East","Port Allegany","PA","16743","41.808813","-78.271039","Friday","weekly","","","Thursday","weekly","Sunday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:N","2012/10/9"
"1000657960","Ridge Avenue Farmers Market","5614 Ridge Avenue","Appleton","WI","54911","44.261268","-88.389713","Sunday","every other week","","","Sunday","every other week","","","Sunday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2012/6/26"
"1000736875","South Carolina Home Grown Farmers Market","2151 6th Street North","Hartsville","SC","29550","34.358894","-80.078921","Friday","weekly","","","Wednesday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2015/11/29"
"1000057791","Cambridge Court Market","2155 Cambridge Court","Philadelphia","PA","19147","39.949964","-75.160438","Sunday","weekly","","","Sunday","every other week","","","Sunday","weekly","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2013/8/12"
"1000822962","Walnut AVE Farmers Market","2845 Walnut AVE","Fouke","AR","71837","33.259361","-93.88071","SATURDAY","WEEKLY","","","WEDNESDAY","EVERY OTHER WEEK","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2012/12/2"
"1000671591","Lincoln ST Farmers Market","1979 Lincoln ST","Washington","DC","20017","38.889843","-77.030489","Saturday","every other week","","","Monday","weekly","Sunday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2012/2/3"
"1000785902","New York Home Grown Farmers Market","4556 Walnut Street","Bronx","NY","10453","40.839696","-73.8702","Sunday","every other week","Friday","weekly","Friday","every other week","Saturday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2015/2/21"
"1000146862","John Street Farmers Market","1146 John Street","Lubbock","TX","79410","33.569366","-101.871628","FRIDAY","WEEKLY","","","SUNDAY","EVERY OTHER WEEK","SATURDAY","WEEKLY","SUNDAY","EVERY OTHER WEEK","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2016 Aug 14"
"1000838665","Connecticut Home Grown Farmers Market","606 Valley Road","Simsbury","CT","6070","41.880746","-72.810549","SATURDAY","WEEKLY","","","SUNDAY","WEEKLY","SATURDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2014/5/7"
"1000235581","Ohio Home Grown Farmers Market","5512 Maple Lane","Lebanon","OH","45036","39.420621","-84.209809","","","","","SUNDAY","WEEKLY","FRIDAY","WEEKLY","THURSDAY","FIRST OF MONTH","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2013 Sep 13"
"1000167760","8th Street Farmers Market","59162 8th Street","Lorton","VA","22079","38.699851","-77.240636","FRIDAY","WEEKLY","","","SATURDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2012/6/30"
"1000265589","Delaware Home Grown Farmers Market","5866 Myrtle AVE","Wilmington","DE","19802","39.731228","-75.530571","","","","","Saturday","every other week","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2017 Mar 18"
"1000032332","9th Street Farmers Market","963 9th Street","Locust Grove","VA","22508","38.329577","-77.790329","","","","","Sunday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2016/11/5"
"1000817284","Texas Home Grown Farmers Market","8382 Circle Drive","Conroe","TX","77385","30.318967","-95.470919","THURSDAY","WEEKLY","","","FRIDAY","WEEKLY","SUNDAY","EVERY OTHER WEEK","FRIDAY","WEEKLY","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2014 Nov 14"
"1000174151","Ohio Home Grown Farmers Market","9257 Cambridge Court","Cleveland","OH","44106","41.470902","-81.672615","","","","","Friday","first of month","Saturday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2016/12/29"
"1000869897","Cherry Lane Farmers Market","753 Cherry Lane","Dunedin","FL","34698","28.021856","-82.769898","Sunday","first of month","","","Saturday","weekly","","","Saturday","weekly","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2014/6/24"
"1000257382","North Carolina Home Grown Market","2699 6th Street North","Apex","NC","27539","35.671212","-78.811304","","","","","SATURDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2013/7/8"
"1000660001","Lynn Farmers Market","808 Bridge Street","Lynn","MA","1904","42.470271","-70.958244","Friday","weekly","","","Sunday","every other week","Saturday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:Y","2013/3/30"
"1000963503","Mill ST Farmers Market","603 Mill ST","Corpus Christi","TX","78413","27.798673","-97.390877","Sunday","every other week","","","Saturday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2016/8/11"
"1000311537","Dogwood DR Farmers Market","7244 Dogwood DR","La Grange","IL","60525","41.799305","-87.869924","Sunday","weekly","","","Wednesday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:Y|crafts:N","2015 Sep 21"
"1000151885","Elm Street Market","2497 Elm Street","Poplar Grove","IL","61065","42.361211","-88.819574","SATURDAY","WEEKLY","","","SATURDAY","WEEKLY","SUNDAY","EVERY OTHER WEEK","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:N","2017/8/24"
"1000650898","Texas Home Grown Market","398 Walnut Street","Missouri City","TX","77459","29.569797","-95.531939","","","","","Sunday","every other week","Wednesday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:Y|crafts:N","2016 Jan 03"
"1000762449","Bismarck Market","325 York Road","Bismarck","ND","58503","46.910534","-100.749508","WEDNESDAY","FIRST OF MONTH","","","SUNDAY","WEEKLY","FRIDAY","WEEKLY","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017 Jan 22"
"1000150663","Forest Drive Farmers Market","6264 Forest Drive","Altamonte Springs","FL","32714","28.660842","-81.391476","Saturday","first of month","","","Sunday","weekly","Thursday","every other week","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:N|crafts:N","2012 Mar 06"
"1000078822","College Street Farmers Market","584 College Street","Philadelphia","PA","19102","39.949342","-75.161467","Saturday","weekly","","","Monday","weekly","Sunday","weekly","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2013/11/21"
"1000891028","Suffolk Farmers Market","7220 Olive Street","Suffolk","VA","23434","36.699053","-76.630134","Sunday","every other week","","","Thursday","weekly","Monday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:N","2012 Dec 19"
"1000406371","Far Rockaway Farmers Market","911 Chestnut Street","Far Rockaway","NY","11691","40.591443","-73.81033","Saturday","every other week","","","Wednesday","weekly","","","Sunday","first of month","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:Y","2013 Jul 11"
"1000924719","Locust Street Market","11556 Locust Street","Durham","NC","27705","35.980815","-78.910399","MONDAY","EVERY OTHER WEEK","","","SATURDAY","EVERY OTHER WEEK","FRIDAY","WEEKLY","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:N","2017/10/3"
"1000383063","Locust Street Farmers Market","1640 Locust Street","Smyrna","DE","19977","39.287479","-75.59925","","","","","","","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:N|plants_flowers:N|crafts:Y","2017/3/26"
"1000216072","Pennsylvania Home Grown Market","808 Water Street","New Providence","PA","17560","39.899601","-76.229828","","","","","Sunday","every other week","Friday","weekly","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:Y","2015/6/11"
"1000951806","Jackson ST Farmers Market","564 Jackson ST","Oklahoma City","OK","73173","35.460093","-97.510303","Saturday","first of month","","","Friday","weekly","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:Y|crafts:N","2017/1/6"
"1000522342","7th ST Market","5908 7th ST","Sarah","MS","38665","34.600079","-90.121116","SATURDAY","EVERY OTHER WEEK","","","SUNDAY","WEEKLY","","","","","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:N|plants_flowers:Y|crafts:Y","2014/3/9"
"1000782678","Central AVE Market","851 Central AVE","Milwaukee","WI","53202","43.060723","-87.95967","SUNDAY","WEEKLY","","","FRIDAY","WEEKLY","SATURDAY","WEEKLY","SATURDAY","WEEKLY","","","true","$ wine_alcohol:N|meat_eggs_seafood:N|prepared_food:Y|plants_flowers:N|crafts:Y","2016/5/30"
"1000894610","Lake Street Market","3086 Lake Street","Vilonia","AR","72173","35.07977","-92.213175","Sunday","every other week","","","Sunday","weekly","Saturday","weekly","","","","","false","$ wine_alcohol:N|meat_eggs_seafood:Y|prepared_food:Y|plants_flowers:N|crafts:N","2015 Feb 26"
